NUTS code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
UKC,North East,17407,17884,18333,18948,19929,20616,21916,22220,22722,22794,22505,21620,22171,22461,22396,22211,22335,22719,22570,22620,22708
UKD,North West,19754,20631,20981,21814,22489,23160,23830,24363,25112,25472,25048,24174,24794,24905,25124,25544,25944,26399,26682,27186,27434
UKE,Yorkshire and The Humber,19571,20193,20733,21302,22121,22987,23684,23967,24378,24785,23959,22599,22861,23404,23381,23534,23834,24300,24307,24738,24896
UKF,East Midlands,20276,20693,21018,21371,21574,22049,22539,23115,23567,23895,23578,22156,23107,23568,23599,24004,24390,24558,24774,24929,25025
UKG,West Midlands,20579,21289,21643,21937,22382,22833,23440,23737,23931,23902,23475,21872,22730,23497,23569,23924,24398,24915,25332,25759,26103
UKH,East of England,22132,22877,23766,24422,24784,25590,25848,26541,27129,27187,26719,25221,25655,25839,25865,26275,27038,27353,27851,28727,29070
UKI,London,36293,37709,40074,40566,40635,42146,42940,45367,46299,48906,48244,44539,45453,46740,47927,49043,50413,50601,51951,52461,53014
UKJ,South East,25795,26802,27758,28283,28839,29373,29631,30270,30785,30904,30832,29329,30378,30973,31217,31839,32047,32772,32719,32913,32922
UKK,South West,21382,22070,22667,23343,23709,24274,24795,25093,25516,25627,25447,24472,25435,25563,25606,25889,26463,26534,26781,27248,27284
UKL,Wales,17846,18180,18847,19177,19646,20292,20878,21223,21703,21771,20989,20085,20581,21411,21488,21902,21979,22336,22626,22821,23028
UKM,Scotland,20881,21318,22136,22878,23351,24073,24826,25622,26452,26636,26567,25562,25946,26762,26795,27583,28134,28051,28027,28375,28563
UKN,Northern Ireland,19159,20002,21105,21655,21903,22850,23258,24145,24694,24572,23704,22543,22546,23075,23238,23427,23785,24355,24658,24961,24685
