NUTS code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
UKC,North East,NA,2.70,2.50,3.40,5.20,3.40,6.30,1.40,2.30,0.30,-1.30,-3.90,2.50,1.30,-0.30,-0.80,0.60,1.70,-0.70,0.20,0.40
UKD,North West,NA,4.40,1.70,4.00,3.10,3.00,2.90,2.20,3.10,1.40,-1.70,-3.50,2.60,0.40,0.90,1.70,1.60,1.80,1.10,1.90,0.90
UKE,Yorkshire and The Humber,NA,3.20,2.70,2.70,3.80,3.90,3.00,1.20,1.70,1.70,-3.30,-5.70,1.20,2.40,-0.10,0.70,1.30,2.00,0.00,1.80,0.60
UKF,East Midlands,NA,2.10,1.60,1.70,0.90,2.20,2.20,2.60,2.00,1.40,-1.30,-6.00,4.30,2.00,0.10,1.70,1.60,0.70,0.90,0.60,0.40
UKG,West Midlands,NA,3.50,1.70,1.40,2.00,2.00,2.70,1.30,0.80,-0.10,-1.80,-6.80,3.90,3.40,0.30,1.50,2.00,2.10,1.70,1.70,1.30
UKH,East of England,NA,3.40,3.90,2.80,1.50,3.30,1.00,2.70,2.20,0.20,-1.70,-5.60,1.70,0.70,0.10,1.60,2.90,1.20,1.80,3.10,1.20
UKI,London,NA,3.90,6.30,1.20,0.20,3.70,1.90,5.70,2.10,5.60,-1.40,-7.70,2.10,2.80,2.50,2.30,2.80,0.40,2.70,1.00,1.10
UKJ,South East,NA,3.90,3.60,1.90,2.00,1.90,0.90,2.20,1.70,0.40,-0.20,-4.90,3.60,2.00,0.80,2.00,0.70,2.30,-0.20,0.60,0.00
UKK,South West,NA,3.20,2.70,3.00,1.60,2.40,2.10,1.20,1.70,0.40,-0.70,-3.80,3.90,0.50,0.20,1.10,2.20,0.30,0.90,1.70,0.10
UKL,Wales,NA,1.90,3.70,1.70,2.40,3.30,2.90,1.70,2.30,0.30,-3.60,-4.30,2.50,4.00,0.40,1.90,0.30,1.60,1.30,0.90,0.90
UKM,Scotland,NA,2.10,3.80,3.40,2.10,3.10,3.10,3.20,3.20,0.70,-0.30,-3.80,1.50,3.10,0.10,2.90,2.00,-0.30,-0.10,1.20,0.70
UKN,Northern Ireland,NA,4.40,5.50,2.60,1.10,4.30,1.80,3.80,2.30,-0.50,-3.50,-4.90,0.00,2.30,0.70,0.80,1.50,2.40,1.20,1.20,-1.10
