NUTS code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
UKD33,Manchester,NA,4.1,0.6,4.9,2.1,0.8,1.6,2.9,3.4,2.6,-0.8,-3.6,0.6,-0.2,1.5,-1.8,0.8,1.2,3,4.7,1.1
UKG31,Birmingham,NA,2.1,2.7,2.3,1.3,1.9,2.5,0.5,-0.4,1.3,-2.5,-7.3,1.7,1.3,-1.6,4.8,1.8,1.3,1.8,-0.2,3.6
UKE42,Leeds,NA,6.2,3,3.3,2.2,5.4,2.3,1.8,3.9,1.6,-3.4,-5.9,2.2,2.8,-0.5,-0.1,0.3,2.6,-0.8,0,3.9
UKA,London,NA,5.2,7.5,2.4,0.9,4,2.4,6.9,3.1,7,0.2,-6.1,3.6,4.7,3.8,3.7,4.3,1.9,3.9,1.6,2
UKM82,Glasgow,NA,2.2,2.8,3.8,0.6,2.4,3.6,4.6,2.8,0.5,0.6,-4.7,-0.8,3.3,1.3,2.4,-0.1,0.3,0.9,1.2,2.1
UKD72,Liverpool,NA,5,3.8,4.4,5.7,7.3,2.1,2.6,6.3,-2.7,-0.1,2.3,-1.1,-0.6,-2.9,0.1,3,1.6,-0.7,0.1,2.5
UKE32,Sheffield,NA,0.1,4.1,4.6,5.7,4.1,3.3,1.3,3.5,3.4,-5,-3.8,3.2,3.5,0.9,1.6,-0.5,0.8,1.1,1.4,0
UKM75,Edinburgh,NA,2.3,7.8,5.2,5.3,4.8,2.2,2,3.5,0.9,-0.5,-1.5,-1.1,0.2,3.3,2.6,0.3,4.5,4.6,3.3,3.7
UKK11,Bristol,NA,2.6,3.6,5.9,1.6,1.9,2.2,0.4,1.4,4.8,0.9,-1.7,2.9,0.8,1.5,0.9,4.6,-1.7,3.9,4.6,-3
UKF21,Leicester,NA,2.3,5.1,-1.2,-0.1,5.3,4.5,3,3.7,2.7,0.7,-5.4,4.1,3,-2.1,2.8,5.3,3.6,3.7,-0.6,0.1
